Tanggal,Target Vaksinasi,Vaksinasi 1,Vaksinasi 2,Persentase 1,Persentase 2
7 July 2021,8815157,5072833,1943092,0.575467118736513,0.220426249923853
8 July 2021,8815157,5161695,1945121,0.58554771060799,0.22065642166101
9 July 2021,8815157,5388600,1950495,0.611288034915317,0.221266053457698
10 July 2021,8815157,5423545,1951043,0.615252229767434,0.221328219111696
11 July 2021,8815157,5441693,1951485,0.617310956571732,0.221378360022402
12 July 2021,8815157,5466004,1951695,0.620068820101559,0.221402182627037
13 July 2021,8815157,5544335,1952866,0.628954765071116,0.221535022008116
14 July 2021,8815157,5925485,1965880,0.672192792482312,0.223011342849594
15 July 2021,8815157,6069993,1970308,0.688585920817973,0.223513659484454
16 July 2021,8815157,6237742,1976896,0.707615530840801,0.224261008624123
17 July 2021,8815157,6399345,1987840,0.725947932634665,0.225502506648492
18 July 2021,8815157,6484908,1996217,0.735654282731436,0.22645280169145
19 July 2021,8815157,6538446,2002013,0.741727685621481,0.227110305579356
20 July 2021,8815157,6646485,2021486,0.753983735059965,0.229319341674799
21 July 2021,8815157,6652011,2021780,0.75461060988477,0.229352693321287
22 July 2021,8815157,6753288,2067633,0.766099571454031,0.234554302322693
23 July 2021,8815157,6870297,2124049,0.779373186433322,0.240954188337201
24 July 2021,8815157,6982429,2191407,0.792093549780225,0.24859534549413
25 July 2021,8815157,7050648,2221866,0.799832379616154,0.252050644134869
26 July 2021,8815157,7098002,2238876,0.805204263520207,0.253980275110245
27 July 2021,8815157,7209473,2321531,0.817849642383,0.263356738853318
28 July 2021,8815157,7326205,2410672,0.831091834212369,0.273468980756667
29 July 2021,8815157,7282669,2426508,0.826153067948761,0.27526543202804
30 July 2021,8815157,7400420,2543030,0.839510856131093,0.288483801252774
31 July 2021,8815157,7507340,2667299,0.851639965119169,0.302580997706564
1 August 2021,8815157,7597843,2716121,0.861906713629717,0.308119412961108
2 August 2021,8815157,7667494,2744716,0.869807990941058,0.311363257625474
3 August 2021,8815157,7800342,2865036,0.884878397514644,0.325012475671165
4 August 2021,8815157,7918732,2984244,0.898308674479649,0.338535547353269
5 August 2021,8815157,8032264,3083135,0.911187855190781,0.349753838757495
6 August 2021,8815157,8102064,3110381,0.919106035207314,0.352844651547329
7 August 2021,8815157,8185795,3184396,0.928604561438894,0.361240985271164
8 August 2021,8941211,8371190,3415964,0.936247897516343,0.382047129857466
9 August 2021,8941211,8507635,3532646,0.951508134636348,0.395097039987089
10 August 2021,8941211,8630089,3671205,0.965203594904538,0.410593710404553
11 August 2021,8941211,8722646,3784353,0.975555324664634,0.423248372060563
12 August 2021,8941211,8771557,3820779,0.981025612749772,0.427322316853947
13 August 2021,8941211,8861264,4007949,0.991058593740826,0.448255722854544
14 August 2021,8941211,8951693,4181318,1.00117232442004,0.467645601921261
15 August 2021,8941211,9017051,4260251,1.00848207250673,0.47647360072366
16 August 2021,8941211,9069350,4310395,1.01433128018117,0.482081789592036
17 August 2021,8941211,9151228,4434796,1.02348865271158,0.495995005598235
18 August 2021,8941211,9190936,4449098,1.0279296618769,0.497594565210462
19 August 2021,8941211,9240308,4561615,1.03345150897345,0.51017865477059
20 August 2021,8941211,9285055,4679444,1.03845608833076,0.523356847299544
21 August 2021,8941211,9319191,4762907,1.04227391569218,0.532691488882211
22 August 2021,8941211,9351093,4845271,1.04584188875534,0.541903216465868
23 August 2021,8941211,9363908,4879571,1.0472751397993,0.545739385861714
24 August 2021,8941211,9409218,4978587,1.05234268601871,0.556813500989967
25 August 2021,8941211,9457611,5088010,1.05775504011705,0.569051552412755
26 August 2021,8941211,9505680,5197381,1.06313115751323,0.581283788068529
27 August 2021,8941211,9554298,5317949,1.06856867598807,0.594768314940784
28 August 2021,8941211,9622701,5490891,1.07621898197012,0.614110437612981
29 August 2021,8941211,9629886,5507262,1.07702256439312,0.615941397647366
30 August 2021,8941211,9630547,5507703,1.07709649173921,0.615990719825312
31 August 2021,8941211,9690914,5664704,1.08384803803422,0.633549974382665
1 September 2021,8941211,9737159,5782838,1.08902015621821,0.64676227862199
2 September 2021,8941211,9773386,5894734,1.0930718445186,0.659276914502968
3 September 2021,8941211,9821061,6028830,1.09840389629548,0.674274435532279
4 September 2021,8941211,9866345,6166648,1.10346853463138,0.689688231269791
5 September 2021,8941211,9889919,6204068,1.1061050902389,0.693873346686484
6 September 2021,8941211,9900910,6225547,1.10733434207067,0.696275593988331
7 September 2021,8941211,9936109,6352981,1.11127105713085,0.710528025789795
8 September 2021,8941211,9973798,6478196,1.11548625795767,0.724532280918099
9 September 2021,8941211,10007919,6591953,1.11930240769399,0.737255054153179
10 September 2021,8941211,10042708,6721632,1.1231932676681,0.75175857051131
11 September 2021,8941211,10083167,6871342,1.1277182699301,0.76850238742828
12 September 2021,8941211,10088212,6891321,1.12828251117214,0.770736872220105
13 September 2021,8941211,10095359,6911009,1.12908184361156,0.772938811084986
14 September 2021,8941211,10124301,7023287,1.13231876532161,0.785496170485184
15 September 2021,8941211,10143670,7115084,1.13448502669269,0.795762900573535
16 September 2021,8941211,10169963,7219461,1.13742567981004,0.807436598912608
17 September 2021,8941211,10187965,7254210,1.13943905361365,0.811322985219787
18 September 2021,8941211,10221172,7356944,1.14315298006053,0.822812927689549
19 September 2021,8941211,10232364,7407335,1.14440471206865,0.828448741451242
20 September 2021,8941211,10242670,7422545,1.14555735235417,0.830149853302869
21 September 2021,8941211,10254513,7425800,1.14688189329164,0.830513897949618
22 September 2021,8941211,10289658,7493319,1.15081256890146,0.83806533589242
23 September 2021,8941211,10308092,7515085,1.15287425830796,0.840499681754518
24 September 2021,8941211,10336382,7577364,1.15603825924699,0.847465069328976
25 September 2021,8941211,10355138,7616782,1.15813596167231,0.851873644409018
26 September 2021,8941211,10371380,7639213,1.15995249413083,0.854382364983893
27 September 2021,8941211,10385570,7655342,1.16153952747564,0.856186259333327
28 September 2021,8941211,10412252,7687969,1.16452368700392,0.859835317609662
29 September 2021,8941211,10434535,7720027,1.16701585501114,0.863420737973861
30 September 2021,8941211,10455315,7744545,1.16933992498332,0.866162872121014
1 October 2021,8941211,10473691,7769487,1.17139512757276,0.868952427137666
2 October 2021,8941211,10493314,7794962,1.17358979672888,0.871801593766214
3 October 2021,8941211,10502454,7802595,1.17461202962328,0.872655281258881
4 October 2021,8941211,10506966,7806951,1.17511665925343,0.873142463587986
5 October 2021,8941211,10528021,7830971,1.17747148568578,0.875828900581812
6 October 2021,8941211,10545955,7848328,1.1794772542556,0.877770136506117
7 October 2021,8941211,10565904,7875033,1.18170838379723,0.880756868392883
8 October 2021,8941211,10591515,7895222,1.18457276089335,0.883014839936111
9 October 2021,8941211,10610968,7931535,1.186748416965,0.887076146620407
10 October 2021,8941211,10620030,7939993,1.18776192620888,0.888022103493587
11 October 2021,8941211,10643267,7975257,1.19036079117247,0.891966088262541
12 October 2021,8941211,10662143,8000147,1.19247191459859,0.894749827512179
13 October 2021,8941211,10682722,8020262,1.19477350439443,0.89699952277158
14 October 2021,8941211,10700391,8053585,1.19674963492082,0.900726422852564
15 October 2021,8941211,10728250,8088081,1.19986543209863,0.904584513216386
16 October 2021,8941211,10745792,8115395,1.2018273587325,0.907639356682221
17 October 2021,8941211,10752953,8129488,1.20262825695535,0.909215541384718
18 October 2021,8941211,10756821,8136235,1.20306086054786,0.909970137154799
19 October 2021,8941211,10771150,8160562,1.20466343988527,0.912690909542343
20 October 2021,8941211,10771150,8160562,1.20466343988527,0.912690909542343
21 October 2021,8941211,10786600,8185470,1.2063913937385,0.915476661942101
22 October 2021,8941211,10798829,8204961,1.20775910556188,0.917656567997333
23 October 2021,8941211,10819192,8245279,1.21003653755627,0.922165800583388
24 October 2021,8941211,10825633,8254038,1.2107569097743,0.923145421800246
25 October 2021,8941211,10829633,8257773,1.2112042764677,0.923563150450202
26 October 2021,8941211,10845376,8287968,1.21296499993122,0.926940209776953
27 October 2021,8941211,10855432,8305925,1.21408967979841,0.928948550705268
28 October 2021,8941211,10865711,8329479,1.21523930035875,0.931582869479313
29 October 2021,8941211,10871909,8339702,1.21593249505017,0.932726226905953
30 October 2021,8941211,10891249,8385781,1.21809551301272,0.937879779372168
31 October 2021,8941211,10895124,8392310,1.21852889949695,0.938609993657459
1 November 2021,8941211,10897428,8398405,1.21878658271234,0.939291668656516
2 November 2021,8941211,10907474,8422163,1.2199101441628,0.941948803131925
3 November 2021,8941211,10919281,8453732,1.22123065880002,0.945479532917856
4 November 2021,8941211,10930830,8482369,1.22252231828552,0.948682342917531
5 November 2021,8941211,10941629,8512563,1.22373009651601,0.952059290402609
6 November 2021,8941211,10950544,8540142,1.22472716503391,0.955143771911881
7 November 2021,8941211,10954750,8549211,1.22519757111201,0.956158064047476
8 November 2021,8941211,10956471,8553541,1.22539005063184,0.956642338493074
9 November 2021,8941211,10970458,8582426,1.22695438011697,0.959872885227739
10 November 2021,8941211,10979590,8604578,1.22797571827798,0.96235040197575
11 November 2021,8941211,10982717,8604674,1.22832544719054,0.962361138776392
12 November 2021,8941211,10988442,8626240,1.22896574077046,0.964773116303821
13 November 2021,8941211,11004794,8689942,1.23079457581305,0.971897654579452
14 November 2021,8941211,11006754,8699800,1.23101378549282,0.97300018979532
15 November 2021,8941211,11008187,8703931,1.23117405461072,0.973462207747921
16 November 2021,8941211,11016792,8735236,1.23213645220989,0.976963411332089
17 November 2021,8941211,11025452,8764680,1.23310500110108,0.980256477562156
18 November 2021,8941211,11029080,8770207,1.23351076269199,0.980874626490752
19 November 2021,8941211,11036068,8791282,1.23429231230535,0.983231689756567
20 November 2021,8941211,11049664,8847771,1.23581291169619,0.989549514042337
21 November 2021,8941211,11051626,8855956,1.2360323450593,0.990464938138693
22 November 2021,8941211,11052937,8859875,1.23617896949306,0.990903245656545
23 November 2021,8941211,11061277,8887770,1.23711172904878,0.994023069134595
24 November 2021,8941211,11070443,8914971,1.23813686982669,0.997065274491341
25 November 2021,8941211,11079640,8944272,1.23916547769648,1.00034234736212
26 November 2021,8941211,11084245,8957716,1.23968050860225,1.00184594681861
27 November 2021,8941211,11089856,8967417,1.2403080522314,1.00293092289176
28 November 2021,8941211,11091875,8987124,1.24053386056989,1.00513498674844
29 November 2021,8941211,11093387,8992130,1.24070296518,1.00569486616522
30 November 2021,8941211,11100361,9014917,1.24148294900993,1.00824340237581
1 December 2021,8941211,11106832,9034073,1.24220667647816,1.01038584147047
2 December 2021,8941211,11112757,9050037,1.24286933839275,1.0121712819438
3 December 2021,8941211,11118916,9066546,1.2435581712589,1.01401767612911
4 December 2021,8941211,11124991,9083830,1.2442376094245,1.01595074761126
5 December 2021,8941211,11126371,9087627,1.24439195093372,1.01637541044496
6 December 2021,8941211,11127033,9088599,1.24446599012147,1.01648412055146
7 December 2021,8941211,11132691,9103420,1.24509879030928,1.01814172599215
8 December 2021,8941211,11135776,9110491,1.24544382187156,1.0189325584644
9 December 2021,8941211,11141130,9124255,1.24604262219066,1.02047194725636
10 December 2021,8941211,11146591,9137564,1.24665338956882,1.02196044808695
11 December 2021,8941211,11153679,9151203,1.24744612334951,1.02348585666975
12 December 2021,8941211,11155213,9154206,1.24761768847643,1.02382171721482
13 December 2021,8941211,11156033,9155594,1.24770939864857,1.02397695345742
14 December 2021,8941211,11161525,9165877,1.2483236331186,1.02512702138446
15 December 2021,8941211,11177134,9177767,1.25006936979789,1.02645681888057
16 December 2021,8941211,11214575,9187583,1.25425683388973,1.02755465674616
